# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)n_ncdm[0]          13:(.)rho_ncdm[0]        14:(.)p_ncdm[0]          15:(.)rho_lambda         16:(.)rho_ur             17:(.)rho_crit           18:(.)rho_dcdm           19:gr.fac. D             20:gr.fac. f          
       1.000000000000e+14       7.558503632234e-26       4.634785000235e-09       2.157545946645e+22       1.461294618294e+04       1.461294618294e-10       1.461294618294e+18       2.675958164818e-09       2.751560535470e+44       2.451390603497e+33       1.112650056054e+30       6.095259162154e-29       4.953868722770e+07       1.646625281598e+07       4.385135802907e-08       1.903443976270e+44       4.655004511886e+44       1.218702465981e+34       2.019061898980e-17       2.000000000000e+14 
       9.930486593843e+13       7.664693049763e-26       4.667526809499e-09       2.127654528179e+22       1.461294618294e+04       1.471523680622e-10       1.451136661662e+18       2.694689871972e-09       2.675846458098e+44       2.400623788821e+33       1.089607747286e+30       5.969030036593e-29       4.817649803945e+07       1.601284238078e+07       4.385135802907e-08       1.851067333040e+44       4.526913791282e+44       1.193463876037e+34       2.816839183445e-05       1.433565615564e+02 
       9.861456399050e+13       7.772374322419e-26       4.700268618762e-09       2.098177236188e+22       1.461294618294e+04       1.481824346387e-10       1.441049316447e+18       2.713552701076e-09       2.602215788102e+44       2.350908324129e+33       1.067042630778e+30       5.845415039770e-29       4.685177853257e+07       1.557191278864e+07       4.385135802907e-08       1.800131926217e+44       4.402347714459e+44       1.168747962004e+34       5.633678366888e-05       7.167828077820e+01 
       9.792906056653e+13       7.881568409275e-26       4.733010428026e-09       2.069108333215e+22       1.461294618294e+04       1.492197116811e-10       1.431032091805e+18       2.732547569983e-09       2.530611196824e+44       2.302222436600e+33       1.044944824165e+30       5.724360034661e-29       4.556349784769e+07       1.514312054507e+07       4.385135802907e-08       1.750598097619e+44       4.281209294581e+44       1.144543899581e+34       8.450517550331e-05       4.778552051880e+01 
       9.724832231036e+13       7.992296563856e-26       4.765752237290e-09       2.040442161291e+22       1.461294618294e+04       1.502642496629e-10       1.421084500303e+18       2.751675402973e-09       2.460976933110e+44       2.254544804314e+33       1.023304649743e+30       5.605812005390e-29       4.431065348878e+07       1.472613160827e+07       4.385135802907e-08       1.702427280332e+44       4.163404213576e+44       1.120841088631e+34       1.126735673377e-04       3.583914038910e+01 
       9.657231609767e+13       8.104580338282e-26       4.800313035958e-09       2.012173140836e+22       1.461294618294e+04       1.513160994105e-10       1.411206057897e+18       2.770937130794e-09       2.393258779894e+44       2.207854546917e+33       1.002112630227e+30       5.489719034004e-29       4.309227054275e+07       1.432062112905e+07       4.385135802907e-08       1.655581968676e+44       4.048840748702e+44       1.097629148540e+34       1.408419591722e-04       2.867131231128e+01 
       9.590100903443e+13       8.218441587455e-26       4.833054845221e-09       1.984295769570e+22       1.461294618294e+04       1.523753121064e-10       1.401396283910e+18       2.790333690709e-09       2.327404011992e+44       2.162131216471e+33       9.813594846001e+29       5.376030277742e-29       4.190740092048e+07       1.392627319786e+07       4.385135802907e-08       1.610025689010e+44       3.937429701132e+44       1.074897913669e+34       1.690103510066e-04       2.389276025940e+01 
       9.523436845525e+13       8.333902473317e-26       4.867615643889e-09       1.956804621443e+22       1.461294618294e+04       1.534419392911e-10       1.391654701003e+18       2.809866026544e-09       2.263361355047e+44       2.117354788506e+33       9.610361240495e+29       5.264695946765e-29       4.075512261874e+07       1.354278059877e+07       4.385135802907e-08       1.565722971329e+44       3.829084326502e+44       1.052637428906e+34       1.971787428410e-04       2.047950879377e+01 
       9.457236192179e+13       8.450985469164e-26       4.900357453153e-09       1.929694345582e+22       1.461294618294e+04       1.545160328662e-10       1.381980835157e+18       2.829535088730e-09       2.201080945604e+44       2.073505653244e+33       9.411336479866e+29       5.155667282351e-29       3.963453900242e+07       1.316984457026e+07       4.385135802907e-08       1.522639321645e+44       3.723720267373e+44       1.030837945299e+34       2.253471346754e-04       1.791957019455e+01 
       9.391495722125e+13       8.569713364020e-26       4.934918251820e-09       1.902959665246e+22       1.461294618294e+04       1.555976450962e-10       1.372374215647e+18       2.849341834351e-09       2.140514292293e+44       2.030564607016e+33       9.216433401488e+29       5.048896535543e-29       3.854477810656e+07       1.280717457255e+07       4.385135802907e-08       1.480741195137e+44       3.621255487551e+44       1.009489915795e+34       2.535155265098e-04       1.592850683960e+01 
