# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437887190e-10       7.309026172909e-15       4.815171199964e-13       0.000000000000e+00       8.628903609866e-09       4.854772121440e-10      -2.515854151612e-12 
    3       1.409365943022e-10       1.238791651650e-14       6.068719691954e-13       0.000000000000e+00       5.411291720700e-09       3.469573579985e-10      -2.211507031142e-12 
    4       1.324622774942e-10       1.446512635929e-14       6.277976520569e-13       0.000000000000e+00       3.776588552530e-09       2.639785058321e-10      -1.764116067079e-12 
    5       1.257504767741e-10       1.337853519880e-14       5.879551646994e-13       0.000000000000e+00       2.821984230395e-09       2.093815846385e-10      -1.309529286449e-12 
    6       1.208053913439e-10       1.032310747923e-14       5.173990841433e-13       0.000000000000e+00       2.205212283182e-09       1.709429020613e-10      -8.948468925424e-13 
    7       1.173297571356e-10       6.841600365871e-15       4.365335862042e-13       0.000000000000e+00       1.778233642811e-09       1.425663892129e-10      -5.443860557493e-13 
    8       1.150037075887e-10       4.042374146247e-15       3.576623511394e-13       0.000000000000e+00       1.468351551337e-09       1.208855296512e-10      -2.689334595815e-13 
    9       1.135829011379e-10       2.336357197398e-15       2.880590507296e-13       0.000000000000e+00       1.235838581884e-09       1.038809745635e-10      -7.009986714726e-14 
   10       1.128526892611e-10       1.571653533687e-15       2.317799681290e-13       0.000000000000e+00       1.056623422339e-09       9.029297643014e-11       5.745597591392e-14 
   11       1.126728148362e-10       1.345905907609e-15       1.905574142020e-13       0.000000000000e+00       8.886898865977e-10       7.950622504525e-11       1.233291888799e-13 
   12       1.129346482466e-10       1.288312421116e-15       1.640636561751e-13       0.000000000000e+00       7.765278494141e-10       7.028426773461e-11       1.421600854711e-13 
   13       1.135181530543e-10       1.200674797097e-15       1.505300363088e-13       0.000000000000e+00       6.844563326720e-10       6.274647657081e-11       1.277329344097e-13 
   14       1.143248539638e-10       1.054790798629e-15       1.474046706724e-13       0.000000000000e+00       6.078507022024e-10       5.620932594556e-11       9.279532797449e-14 
   15       1.153611553917e-10       9.105397340087e-16       1.516730193078e-13       0.000000000000e+00       5.433693950120e-10       5.074770478394e-11       4.959311367849e-14 
   16       1.165881732729e-10       8.293959318798e-16       1.602914710060e-13       0.000000000000e+00       4.885455305494e-10       4.611880776802e-11       7.232457040186e-15 
   17       1.179228769946e-10       8.287731533366e-16       1.707806936826e-13       0.000000000000e+00       4.415155574458e-10       4.212235238785e-11      -2.792920720839e-14 
   18       1.193693327768e-10       8.811664361876e-16       1.812740701656e-13       0.000000000000e+00       4.006946007208e-10       3.857273443210e-11      -5.233421673738e-14 
   19       1.209354732974e-10       9.538926646953e-16       1.907919251828e-13       0.000000000000e+00       3.654375303385e-10       3.544037490893e-11      -6.510245740959e-14 
   20       1.225654212508e-10       1.013472815642e-15       1.985909989978e-13       0.000000000000e+00       3.343837603188e-10       3.267209093262e-11      -6.706958872052e-14 
   21       1.242710991019e-10       1.062834165221e-15       2.047508483920e-13       0.000000000000e+00       3.070458377125e-10       3.022365760974e-11      -6.038518100706e-14 
   22       1.260522065545e-10       1.120089788912e-15       2.097242388162e-13       0.000000000000e+00       2.827706821182e-10       2.801369696996e-11      -4.840846307909e-14 
   23       1.278979532655e-10       1.204635700193e-15       2.139590307005e-13       0.000000000000e+00       2.612248133579e-10       2.601113352538e-11      -3.407762182492e-14 
   24       1.297762580430e-10       1.335071215313e-15       2.179755427265e-13       0.000000000000e+00       2.419102419149e-10       2.418236688514e-11      -2.047693835757e-14 
   25       1.317039920197e-10       1.511806345204e-15       2.222685095734e-13       0.000000000000e+00       2.246000751466e-10       2.253677513514e-11      -9.447600198199e-15 
   26       1.336934820893e-10       1.727825392959e-15       2.272832348615e-13       0.000000000000e+00       2.089813615615e-10       2.107676212803e-11      -2.331878386082e-15 
   27       1.357258781579e-10       1.976711990857e-15       2.330399220061e-13       0.000000000000e+00       1.948668547997e-10       1.976942456281e-11       6.620874327554e-16 
   28       1.377655510750e-10       2.252057271973e-15       2.393544111879e-13       0.000000000000e+00       1.820132713737e-10       1.856394747114e-11      -9.525867400227e-17 
   29       1.398222361498e-10       2.553377841769e-15       2.459228015582e-13       0.000000000000e+00       1.703550513382e-10       1.745584714629e-11      -3.801164573906e-15 
   30       1.419101743279e-10       2.881917843324e-15       2.523094513154e-13       0.000000000000e+00       1.597671042251e-10       1.644630635283e-11      -9.226625327954e-15 
   31       1.440332209630e-10       3.238301828597e-15       2.580005829220e-13       0.000000000000e+00       1.500335693874e-10       1.552718272764e-11      -1.492866702486e-14 
   32       1.461942655692e-10       3.620417545723e-15       2.626239878160e-13       0.000000000000e+00       1.411042583349e-10       1.468921756906e-11      -2.002927037402e-14 
   33       1.483866108361e-10       4.024639251911e-15       2.658009008809e-13       0.000000000000e+00       1.329161010316e-10       1.391497884165e-11      -2.370100762752e-14 
   34       1.505973857146e-10       4.447817450708e-15       2.671636669320e-13       0.000000000000e+00       1.253545982644e-10       1.318309511803e-11      -2.518539310906e-14 
   35       1.528332219372e-10       4.892544928800e-15       2.666307509940e-13       0.000000000000e+00       1.183811086778e-10       1.249406564341e-11      -2.459200535503e-14 
   36       1.551019055465e-10       5.363799237324e-15       2.642298494105e-13       0.000000000000e+00       1.119397476334e-10       1.185261106352e-11      -2.238999266537e-14 
   37       1.574058370788e-10       5.866748481149e-15       2.600329648635e-13       0.000000000000e+00       1.059467510502e-10       1.126053901342e-11      -1.915231555196e-14 
   38       1.597454861139e-10       6.403718088618e-15       2.541715762403e-13       0.000000000000e+00       1.003866708088e-10       1.071669764888e-11      -1.535846009083e-14 
   39       1.621158465875e-10       6.976268060586e-15       2.468320934814e-13       0.000000000000e+00       9.524189568052e-11       1.021645803218e-11      -1.154171507118e-14 
   40       1.645046229284e-10       7.586006462287e-15       2.382561877038e-13       0.000000000000e+00       9.046338875460e-11       9.751313026212e-12      -8.351242856089e-15 
   41       1.668978692060e-10       8.234293962801e-15       2.286722631148e-13       0.000000000000e+00       8.598777931672e-11       9.311590205866e-12      -6.389558483103e-15 
   42       1.693007832393e-10       8.921239578661e-15       2.180548497324e-13       0.000000000000e+00       8.180192049971e-11       8.896429005091e-12      -5.644106415830e-15 
   43       1.717225131980e-10       9.646379549354e-15       2.062926214796e-13       0.000000000000e+00       7.789473302210e-11       8.506507951566e-12      -5.882707450966e-15 
   44       1.741701543838e-10       1.040892638908e-14       1.932520630466e-13       0.000000000000e+00       7.423783283550e-11       8.141177035531e-12      -6.802860760593e-15 
   45       1.766484086069e-10       1.120805238903e-14       1.787876060911e-13       0.000000000000e+00       7.079567617462e-11       7.798901392734e-12      -8.072935803309e-15 
   46       1.791590521313e-10       1.204388706581e-14       1.627792991889e-13       0.000000000000e+00       6.756285817858e-11       7.479019635312e-12      -9.481084755073e-15 
   47       1.817008674349e-10       1.291678479860e-14       1.451037666008e-13       0.000000000000e+00       6.453562146058e-11       7.180316938463e-12      -1.082316022719e-14 
