# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495450507469e-10       7.309267146327e-15       4.815213700039e-13       2.388866321743e-19       8.628852887904e-09       4.854756471416e-10      -2.515854886642e-12 
    3       1.409382125531e-10       1.238839911253e-14       6.068771001708e-13       4.780054658810e-19       5.411288448615e-09       3.469567533250e-10      -2.211507093648e-12 
    4       1.324644742128e-10       1.446592770440e-14       6.278030363708e-13       7.971836032567e-19       3.776591282924e-09       2.639780830685e-10      -1.764115931940e-12 
    5       1.257534867643e-10       1.337973405431e-14       5.879601234433e-13       1.196708204702e-18       2.821986978390e-09       2.093813341603e-10      -1.309529232455e-12 
    6       1.208093017428e-10       1.032478428907e-14       5.174030601138e-13       1.676919654672e-18       2.205215569765e-09       1.709427471419e-10      -8.948468784763e-13 
    7       1.173346501774e-10       6.843837496852e-15       4.365364354110e-13       2.238200279442e-18       1.778237378016e-09       1.425662008453e-10      -5.443858611327e-13 
    8       1.150097863100e-10       4.045254502864e-15       3.576639938930e-13       2.880961845308e-18       1.468354831376e-09       1.208853413293e-10      -2.689330266794e-13 
    9       1.135903756782e-10       2.339963209407e-15       2.880594329578e-13       3.605632331544e-18       1.235840689900e-09       1.038808714184e-10      -7.009943856259e-14 
   10       1.128616768801e-10       1.576067057080e-15       2.317791663791e-13       4.412642499590e-18       1.056624562515e-09       9.029292794952e-11       5.745608948224e-14 
   11       1.126833687144e-10       1.351209135768e-15       1.905552484764e-13       5.302412786011e-18       8.886903866965e-10       7.950613018405e-11       1.233289384647e-13 
   12       1.129468763911e-10       1.294588675742e-15       1.640600418458e-13       6.275341031250e-18       7.765282945884e-10       7.028414149389e-11       1.421596658406e-13 
   13       1.135322984370e-10       1.208008107316e-15       1.505249729902e-13       7.331791520037e-18       6.844567522470e-10       6.274641566940e-11       1.277326668867e-13 
   14       1.143410578003e-10       1.063265597259e-15       1.473980443477e-13       8.472085753682e-18       6.078510764062e-10       5.620931102759e-11       9.279530883991e-14 
   15       1.153794063283e-10       9.202399601478e-16       1.516648086757e-13       9.696495301900e-18       5.433697308416e-10       5.074766557886e-11       4.959325916536e-14 
   16       1.166085208444e-10       8.404045095122e-16       1.602813804006e-13       1.100523699504e-17       4.885458196102e-10       4.611873777305e-11       7.232599402788e-15 
   17       1.179455963056e-10       8.411739933163e-16       1.707681228126e-13       1.239847062036e-17       4.415158271203e-10       4.212232368752e-11      -2.792920989300e-14 
   18       1.193945388878e-10       8.950458059951e-16       1.812586571332e-13       1.387629795597e-17       4.006948534297e-10       3.857275071023e-11      -5.233437815296e-14 
   19       1.209631830574e-10       9.693361029729e-16       1.907733986408e-13       1.543877167784e-17       3.654377597957e-10       3.544040333047e-11      -6.510267566988e-14 
   20       1.225956348145e-10       1.030563973523e-15       1.985690712752e-13       1.708588710510e-17       3.343839642877e-10       3.267209266625e-11      -6.706968105096e-14 
   21       1.243039416672e-10       1.081656772772e-15       2.047251440338e-13       1.881760741375e-17       3.070460183142e-10       3.022363098018e-11      -6.038509974835e-14 
   22       1.260879430188e-10       1.140728193979e-15       2.096942626692e-13       2.063385377384e-17       2.827708451976e-10       2.801368522647e-11      -4.840835725107e-14 
   23       1.279366874028e-10       1.227173700236e-15       2.139242134272e-13       2.253453532141e-17       2.612249622078e-10       2.601114812427e-11      -3.407760163019e-14 
   24       1.298178713383e-10       1.359591766145e-15       2.179352784501e-13       2.451953924910e-17       2.419103755512e-10       2.418236916337e-11      -2.047699566314e-14 
   25       1.317485115881e-10       1.538392604457e-15       2.222222785439e-13       2.658876575162e-17       2.246001943288e-10       2.253675131905e-11      -9.447692818869e-15 
   26       1.337411678138e-10       1.756560906439e-15       2.272306381948e-13       2.874211590014e-17       2.089814701518e-10       2.107674185262e-11      -2.331963572023e-15 
   27       1.357768992362e-10       2.007679547371e-15       2.329805552868e-13       3.097952226571e-17       1.948669552607e-10       1.976942218498e-11       6.620164505508e-16 
   28       1.378198974841e-10       2.285338559616e-15       2.392878206823e-13       3.330094117850e-17       1.820133633938e-10       1.856394614678e-11      -9.535068875247e-17 
   29       1.398798978906e-10       2.589054079125e-15       2.458484882009e-13       3.570638800705e-17       1.703551341432e-10       1.745583123447e-11      -3.801298092558e-15 
   30       1.419712089543e-10       2.920069988654e-15       2.522268647254e-13       3.819591743678e-17       1.597671772891e-10       1.644627379575e-11      -9.226781892483e-15 
   31       1.440977549620e-10       3.279010540399e-15       2.579091217635e-13       4.076962337978e-17       1.500336325586e-10       1.552714487907e-11      -1.492879253561e-14 
   32       1.462624243342e-10       3.663762878076e-15       2.625230380164e-13       4.342766254411e-17       1.411043122456e-10       1.468918375404e-11      -2.002932825177e-14 
   33       1.484584930909e-10       4.070700514936e-15       2.656898503912e-13       4.617024810823e-17       1.329161473471e-10       1.391495035764e-11      -2.370100155186e-14 
   34       1.506730613085e-10       4.496673272712e-15       2.670419088640e-13       4.899764347748e-17       1.253546395376e-10       1.318306559249e-11      -2.518536552178e-14 
   35       1.529127488897e-10       4.944273788566e-15       2.664976789953e-13       5.191014386843e-17       1.183811470505e-10       1.249403035400e-11      -2.459199377935e-14 
   36       1.551853342392e-10       5.418479703898e-15       2.640848584593e-13       5.490809618625e-17       1.119397842650e-10       1.185257047161e-11      -2.239001326392e-14 
   37       1.574932115089e-10       5.924459147948e-15       2.598754565977e-13       5.799188401064e-17       1.059467860823e-10       1.126049845497e-11      -1.915236229039e-14 
